source,log_type,level,message,timestamp,file_path,parsed_at,raw_content,user_id
node,access,info,User authenticated successfully: userId=933,2025-07-01T11:42:18.563Z,C:\Code\LogSystem\node_logs\accessLogs\access-2025-07-01.log,2025-07-01T19:34:36.706223,"{""level"":""info"",""message"":""User authenticated successfully: userId=933"",""timestamp"":""2025-07-01T11:42:18.563Z""}",933
node,access,info,Preference updated successfully for user_id=933,2025-07-01T11:42:18.593Z,C:\Code\LogSystem\node_logs\accessLogs\access-2025-07-01.log,2025-07-01T19:34:36.706223,"{""level"":""info"",""message"":""Preference updated successfully for user_id=933"",""timestamp"":""2025-07-01T11:42:18.593Z""}"
node,access,info,User authenticated successfully: userId=933,2025-07-01T11:42:23.268Z,C:\Code\LogSystem\node_logs\accessLogs\access-2025-07-01.log,2025-07-01T19:34:36.706223,"{""level"":""info"",""message"":""User authenticated successfully: userId=933"",""timestamp"":""2025-07-01T11:42:23.268Z""}",933
node,access,info,Preference updated successfully for user_id=933,2025-07-01T11:42:23.276Z,C:\Code\LogSystem\node_logs\accessLogs\access-2025-07-01.log,2025-07-01T19:34:36.706223,"{""level"":""info"",""message"":""Preference updated successfully for user_id=933"",""timestamp"":""2025-07-01T11:42:23.276Z""}"
node,access,info,Fetched tokens for user_id=933: 92,2025-07-01T11:42:32.042Z,C:\Code\LogSystem\node_logs\accessLogs\access-2025-07-01.log,2025-07-01T19:34:36.706223,"{""level"":""info"",""message"":""Fetched tokens for user_id=933: 92"",""timestamp"":""2025-07-01T11:42:32.042Z""}"
node,access,info,User authenticated successfully: userId=933,2025-07-01T11:42:36.270Z,C:\Code\LogSystem\node_logs\accessLogs\access-2025-07-01.log,2025-07-01T19:34:36.706223,"{""level"":""info"",""message"":""User authenticated successfully: userId=933"",""timestamp"":""2025-07-01T11:42:36.270Z""}",933
node,access,info,Prompt data saved successfully for user_id=933,2025-07-01T11:42:36.440Z,C:\Code\LogSystem\node_logs\accessLogs\access-2025-07-01.log,2025-07-01T19:34:36.706223,"{""level"":""info"",""message"":""Prompt data saved successfully for user_id=933"",""timestamp"":""2025-07-01T11:42:36.440Z""}"
node,access,info,User authenticated successfully: userId=933,2025-07-01T11:43:20.497Z,C:\Code\LogSystem\node_logs\accessLogs\access-2025-07-01.log,2025-07-01T19:34:36.706223,"{""level"":""info"",""message"":""User authenticated successfully: userId=933"",""timestamp"":""2025-07-01T11:43:20.497Z""}",933
node,access,info,Preference updated successfully for user_id=933,2025-07-01T11:43:20.516Z,C:\Code\LogSystem\node_logs\accessLogs\access-2025-07-01.log,2025-07-01T19:34:36.706223,"{""level"":""info"",""message"":""Preference updated successfully for user_id=933"",""timestamp"":""2025-07-01T11:43:20.516Z""}"
node,access,info,User authenticated successfully: userId=933,2025-07-01T11:43:20.753Z,C:\Code\LogSystem\node_logs\accessLogs\access-2025-07-01.log,2025-07-01T19:34:36.706223,"{""level"":""info"",""message"":""User authenticated successfully: userId=933"",""timestamp"":""2025-07-01T11:43:20.753Z""}",933
node,access,info,Preference updated successfully for user_id=933,2025-07-01T11:43:20.760Z,C:\Code\LogSystem\node_logs\accessLogs\access-2025-07-01.log,2025-07-01T19:34:36.706223,"{""level"":""info"",""message"":""Preference updated successfully for user_id=933"",""timestamp"":""2025-07-01T11:43:20.760Z""}"
