source,log_type,level,message,timestamp,file_path,parsed_at,raw_content,user_id
node,access,info,User onboarding data fetched for userId=683,2025-07-01T12:21:03.889Z,C:\Code\LogSystem\node_logs\accessLogs\access-2025-07-01.log,2025-07-01T19:34:36.706223,"{""level"":""info"",""message"":""User onboarding data fetched for userId=683"",""timestamp"":""2025-07-01T12:21:03.889Z""}",683
node,access,info,User onboarding data fetched for userId=683,2025-07-01T12:21:06.078Z,C:\Code\LogSystem\node_logs\accessLogs\access-2025-07-01.log,2025-07-01T19:34:36.706223,"{""level"":""info"",""message"":""User onboarding data fetched for userId=683"",""timestamp"":""2025-07-01T12:21:06.078Z""}",683
node,access,info,User onboarding data fetched for userId=683,2025-07-01T12:21:06.288Z,C:\Code\LogSystem\node_logs\accessLogs\access-2025-07-01.log,2025-07-01T19:34:36.706223,"{""level"":""info"",""message"":""User onboarding data fetched for userId=683"",""timestamp"":""2025-07-01T12:21:06.288Z""}",683
node,access,info,User authenticated successfully: userId=683,2025-07-01T12:21:32.295Z,C:\Code\LogSystem\node_logs\accessLogs\access-2025-07-01.log,2025-07-01T19:34:36.706223,"{""level"":""info"",""message"":""User authenticated successfully: userId=683"",""timestamp"":""2025-07-01T12:21:32.295Z""}",683
node,access,info,User history fetched successfully for user_id=683,2025-07-01T12:21:32.307Z,C:\Code\LogSystem\node_logs\accessLogs\access-2025-07-01.log,2025-07-01T19:34:36.706223,"{""level"":""info"",""message"":""User history fetched successfully for user_id=683"",""timestamp"":""2025-07-01T12:21:32.307Z""}"
node,access,info,Fetched tokens for user_id=683: 293,2025-07-01T12:21:32.359Z,C:\Code\LogSystem\node_logs\accessLogs\access-2025-07-01.log,2025-07-01T19:34:36.706223,"{""level"":""info"",""message"":""Fetched tokens for user_id=683: 293"",""timestamp"":""2025-07-01T12:21:32.359Z""}"
node,access,info,Fetched tokens for user_id=683: 293,2025-07-01T12:24:00.804Z,C:\Code\LogSystem\node_logs\accessLogs\access-2025-07-01.log,2025-07-01T19:34:36.706223,"{""level"":""info"",""message"":""Fetched tokens for user_id=683: 293"",""timestamp"":""2025-07-01T12:24:00.804Z""}"
node,access,info,User authenticated successfully: userId=683,2025-07-01T12:24:05.557Z,C:\Code\LogSystem\node_logs\accessLogs\access-2025-07-01.log,2025-07-01T19:34:36.706223,"{""level"":""info"",""message"":""User authenticated successfully: userId=683"",""timestamp"":""2025-07-01T12:24:05.557Z""}",683
node,access,info,User authenticated successfully: userId=683,2025-07-01T12:24:05.585Z,C:\Code\LogSystem\node_logs\accessLogs\access-2025-07-01.log,2025-07-01T19:34:36.706223,"{""level"":""info"",""message"":""User authenticated successfully: userId=683"",""timestamp"":""2025-07-01T12:24:05.585Z""}",683
node,access,info,Tokens deducted for user_id=683. New total: 289,2025-07-01T12:24:05.599Z,C:\Code\LogSystem\node_logs\accessLogs\access-2025-07-01.log,2025-07-01T19:34:36.706223,"{""level"":""info"",""message"":""Tokens deducted for user_id=683. New total: 289"",""timestamp"":""2025-07-01T12:24:05.599Z""}"
